ds,y
2022-02-24,6.59000
2022-02-25,6.90000
2022-02-28,7.52000
2022-03-01,8.36000
2022-03-02,8.92000
2022-03-03,9.67000
2022-03-04,9.31000
2022-03-07,9.38000
2022-03-08,9.31000
2022-03-09,9.17000
2022-03-10,9.26000
2022-03-11,9.52000
2022-03-14,9.56000
2022-03-15,9.35000
2022-03-16,9.50000
2022-03-17,9.62000
2022-03-18,9.79000
2022-03-21,9.86000
2022-03-22,9.70000
2022-03-23,9.83000
2022-03-24,9.83000
2022-03-25,9.60000
2022-03-28,9.40000
2022-03-29,9.22000
2022-03-30,9.21000
2022-03-31,9.25000
2022-04-01,9.32000
2022-04-04,9.09000
2022-04-05,9.10000
2022-04-06,9.04000
2022-04-07,8.81000
2022-04-08,8.83000
2022-04-11,9.14000
2022-04-12,9.44000
2022-04-13,9.43000
2022-04-14,9.36000
2022-04-19,9.36000
2022-04-20,9.47000
2022-04-21,9.15000
2022-04-22,9.05000
2022-04-25,9.29000
2022-04-26,9.46000
2022-04-27,9.42000
2022-04-28,9.76000
2022-04-29,9.92000
2022-05-02,9.56000
2022-05-04,9.66000
2022-05-05,9.60000
2022-05-06,9.24000
2022-05-09,9.33000
2022-05-10,9.13000
2022-05-11,8.98000
2022-05-12,8.75000
2022-05-13,9.15000
2022-05-16,9.57000
2022-05-17,9.52000
2022-05-18,9.65000
2022-05-19,9.68000
2022-05-20,9.77000
2022-05-23,10.02000
2022-05-24,10.23000
2022-05-25,10.24000
2022-05-26,10.08000
2022-05-27,10.17000
2022-05-30,10.15000
2022-05-31,10.18000
2022-06-01,10.05000
2022-06-02,10.06000
2022-06-03,10.44000
2022-06-06,10.48000
2022-06-07,10.33000
2022-06-08,10.26000
2022-06-09,10.25000
2022-06-10,10.26000
2022-06-13,10.25000
2022-06-14,10.21000
2022-06-15,10.40000
2022-06-17,10.72000
2022-06-20,10.90000
2022-06-21,10.94000
2022-06-22,10.75000
2022-06-23,10.73000
2022-06-24,10.85000
2022-06-27,10.90000
2022-06-28,10.90000
2022-06-29,10.70000
2022-06-30,10.67000
2022-07-01,10.86000
2022-07-04,10.78000
2022-07-05,10.51000
2022-07-06,10.11000
2022-07-07,10.05000
2022-07-08,10.31000
2022-07-11,9.82000
2022-07-12,9.80000
2022-07-13,9.84000
2022-07-14,10.01000
2022-07-15,9.95000
2022-07-18,10.08000
2022-07-19,10.53000
2022-07-20,10.43000
2022-07-21,10.42000
2022-07-22,10.46000
2022-07-25,10.45000
2022-07-26,10.41000
2022-07-27,10.37000
2022-07-28,10.21000
2022-07-29,10.23000
2022-08-01,10.23000
2022-08-02,10.06000
2022-08-03,9.85000
2022-08-04,9.75000
2022-08-05,9.65000
2022-08-08,9.64000
2022-08-09,9.79000
2022-08-10,9.67000
2022-08-11,9.64000
2022-08-12,9.64000
2022-08-16,9.75000
2022-08-17,9.54000
2022-08-18,9.49000
2022-08-19,9.16000
2022-08-22,8.84000
2022-08-23,8.77000
2022-08-24,8.48000
2022-08-25,8.32000
2022-08-26,7.88000
2022-08-29,7.39000
2022-08-30,7.40000
2022-08-31,7.20000
2022-09-01,7.09000
2022-09-02,7.20000
2022-09-05,7.13000
2022-09-06,6.95000
2022-09-07,6.89000
2022-09-08,7.34000
2022-09-09,7.44000
2022-09-12,7.43000
2022-09-13,7.10000
2022-09-14,6.88000
2022-09-15,6.90000
2022-09-16,6.82000
2022-09-19,6.88000
2022-09-20,6.99000
2022-09-21,6.94000
2022-09-22,6.97000
2022-09-23,6.98000
2022-09-26,6.53000
2022-09-27,6.59000
2022-09-28,6.41000
2022-09-29,6.31000
2022-09-30,6.31000
2022-10-03,6.21000
2022-10-04,6.54000
2022-10-05,6.43000
2022-10-06,6.39000
2022-10-07,6.20000
2022-10-10,5.98000
2022-10-11,5.83000
2022-10-12,5.77000
2022-10-13,5.54000
2022-10-14,5.47000
2022-10-17,5.55000
2022-10-18,5.41000
2022-10-19,5.06000
2022-10-20,4.92000
2022-10-21,4.81000
2022-10-24,4.77000
2022-10-25,5.02000
2022-10-26,5.17000
2022-10-27,5.13000
2022-10-28,5.22000
2022-10-31,5.51000
2022-11-02,5.70000
2022-11-03,5.78000
2022-11-04,5.99000
2022-11-07,6.11000
2022-11-08,5.80000
2022-11-09,5.92000
2022-11-10,6.02000
